community,mean_size,size_std,max_size,mean_growth,growth_std,growth_pattern
0,382.45454545454544,111.96549793250031,566,0.08786245704918975,0.22285242535465433,Stable
1,126.36363636363636,90.16348787316596,312,0.383908404575689,1.446119716514425,Fast Growing
2,390.27272727272725,160.51423046514654,652,0.1143505992294811,0.3322731899609247,Stable
3,272.1818181818182,129.58535270764068,477,0.07400192072124417,0.3757873222357988,Stable
4,217.0,168.21236577612243,522,0.4475074958899827,1.040997110039264,Fast Growing
5,142.9090909090909,135.2541715034731,398,0.24991577564578085,0.4933599046125149,Volatile
6,294.45454545454544,107.21600965934485,420,0.06701633121785963,0.2516834390740809,Stable
7,362.27272727272725,355.4946106227465,995,0.2919719987896379,0.45052320879835006,Volatile
8,262.27272727272725,135.72405159667971,491,-0.11753589211546123,0.1403126568829529,Stable
9,217.27272727272728,42.412476723461715,264,0.005388516070926053,0.20151316151917092,Stable
11,336.6363636363636,245.46171706694824,798,0.20974107933196234,0.5417994319492594,Volatile
12,290.8181818181818,271.55434748197945,691,0.5832783933112453,1.4204624988358576,Fast Growing
13,270.8181818181818,78.65852551607891,373,-0.024825122534948677,0.24505077334024697,Stable
14,152.63636363636363,51.70739352795252,206,0.08821609193662705,0.2944139603335381,Stable
15,67.18181818181819,22.135122235118473,105,0.0743515712369129,0.2464185824971315,Stable
16,237.45454545454547,73.41983878539047,357,-0.05921434089117562,0.16462243774176544,Stable
18,123.0,27.712812921102035,155,0.04905415010837986,0.2333457289294005,Stable
19,168.27272727272728,87.36485667485631,295,-0.12267720015272245,0.1522670848792719,Stable
20,207.36363636363637,78.40315392542918,303,-0.07532392551199286,0.2026855093020863,Stable
21,20.181818181818183,10.897873020164823,36,0.07216164080490456,0.6151865900442834,Volatile
22,11.666666666666666,7.810249675906655,25,0.09292281792281792,0.5056284042057831,Small
23,228.54545454545453,100.13127746749628,362,0.181897511315061,0.4092544574497266,Volatile
26,10.0,2.8284271247461903,13,0.08766788766788766,0.4481310690343944,Small
30,5.5,0.7071067811865476,6,-0.08333333333333333,0.11785113019775792,Small
31,6.0,1.4142135623730951,7,0.2,0.28284271247461906,Small
43,7.5,2.1213203435596424,9,0.25,0.3535533905932738,Small
79,5.0,,5,0.0,,Small
92,6.5,2.1213203435596424,8,-0.1875,0.2651650429449553,Small
93,7.333333333333333,3.214550253664318,11,0.24848484848484845,0.854803313771162,Small
101,5.0,0.0,5,0.0,0.0,Small
162,5.0,,5,0.0,,Small
